,Station_ID,Latitude,Longitude,Elevation_m,State,Name
12322,ASN00064008,-31.2712,149.2714,505.0,,COONABARABRAN (NAMOI STREET)
12512,ASN00066062,-33.8607,151.205,39.0,,SYDNEY (OBSERVATORY HILL)
12635,ASN00066196,-33.8414,151.2633,6.0,,SYDNEY HARBOUR (WEDDING CAKE W
15509,ASN00086071,-37.8075,144.97,31.2,,MELBOURNE REGIONAL OFFICE
15710,ASN00086282,-37.6655,144.8321,113.4,,MELBOURNE AIRPORT
16665,ASN00091262,-41.1333,146.8461,41.0,,BELL BAY (TEMCO)
40325,JA000047741,35.45,133.067,23.0,,MATSUE
40335,JA000047759,35.017,135.733,46.0,,KYOTO
40347,JA000047778,33.45,135.75,76.0,,SHIONOMISAKI
52644,UK000056225,51.7667,-1.2667,63.0,,OXFORD
103210,USC00042319,36.4625,-116.8672,-59.1,CA,DEATH VALLEY NP
103465,USC00044534,36.0067,-119.96,73.2,CA,KETTLEMAN CITY
127257,USW00012815,28.4183,-81.3242,27.1,FL,ORLANDO INTL AP
127270,USW00012839,25.7881,-80.3169,1.5,FL,MIAMI INTL AP
127335,USW00012960,29.9844,-95.3608,27.4,TX,HOUSTON INTERCONTINENTAL AP
127361,USW00013722,35.8922,-78.7819,120.4,NC,RALEIGH AP
127376,USW00013739,39.8733,-75.2269,2.1,PA,PHILA INTL AP
127478,USW00013904,30.1831,-97.68,146.6,TX,AUSTIN BERGSTROM INTL AP
127581,USW00014739,42.3606,-71.0097,3.4,MA,BOSTON
127645,USW00014819,41.7842,-87.7553,185.9,IL,CHICAGO MIDWAY AP
127706,USW00014922,44.8853,-93.2314,254.5,MN,MINNEAPOLIS-ST PAUL INTL AP
127856,USW00023174,33.9381,-118.3867,29.6,CA,LOS ANGELES INTL AP
127864,USW00023183,33.4278,-112.0036,339.2,AZ,PHOENIX AP
127888,USW00023234,37.6197,-122.3656,3.0,CA,SAN FRANCISCO INTL AP
128032,USW00024230,44.2558,-121.1408,929.3,OR,REDMOND AP
128035,USW00024233,47.4447,-122.3144,112.5,WA,SEATTLE TACOMA AP
128486,USW00093107,32.8667,-117.1333,145.4,CA,SAN DIEGO MIRAMAR NAS
128538,USW00093721,39.1733,-76.6842,42.1,MD,BALTIMORE-WASHINGTON INTL AP
128574,USW00093805,30.3975,-84.3289,53.9,FL,TALLAHASSEE
128757,USW00094728,40.7789,-73.9692,42.7,NY,NY CITY CNTRL PARK
