Year,HadCRUT,GISTEMP,BerkeleyEarth
1880.0,-0.31583205,-0.17,-0.31375000000000003
1881.0,-0.23224552,-0.09,-0.5655833333333333
1882.0,-0.29553008,-0.11,-0.6742500000000001
1883.0,-0.3464744,-0.18,-0.70175
1884.0,-0.49232006,-0.28,-0.8294166666666666
1885.0,-0.47112358,-0.34,-0.7791666666666667
1886.0,-0.42090362,-0.32,-0.7355
1887.0,-0.49878576,-0.37,-0.7129166666666666
1888.0,-0.37937889,-0.17,-0.5824166666666667
1889.0,-0.24989556,-0.11,-0.47300000000000003
1890.0,-0.50685817,-0.36,-0.737
1891.0,-0.40131494,-0.23,-0.7203333333333334
1892.0,-0.5075585,-0.28,-0.7167500000000001
1893.0,-0.49461922,-0.32,-0.7271666666666667
1894.0,-0.48376393,-0.31,-0.5523333333333333
1895.0,-0.4487516,-0.23,-0.5581666666666666
1896.0,-0.28400728,-0.12,-0.6290833333333333
1897.0,-0.25980017,-0.12,-0.25375
1898.0,-0.48579213,-0.29,-0.7035
1899.0,-0.35543364,-0.19,-0.47908333333333336
1900.0,-0.2344939,-0.1,-0.2725
1901.0,-0.29341024,-0.17,-0.13066666666666668
1902.0,-0.43895653,-0.29,-0.3030833333333333
1903.0,-0.5332871,-0.38,-0.5339166666666667
1904.0,-0.59751105,-0.49,-0.5501666666666667
1905.0,-0.40779322,-0.28,-0.35975
1906.0,-0.31910878,-0.24,-0.12033333333333333
1907.0,-0.5040763,-0.4,-0.5484166666666667
1908.0,-0.5138197,-0.44,-0.4003333333333334
1909.0,-0.53568715,-0.5,-0.4856666666666667
1910.0,-0.5309095,-0.45,-0.47475
1911.0,-0.539079,-0.45,-0.3385833333333333
1912.0,-0.47553864,-0.37,-0.47075
1913.0,-0.4670111,-0.36,-0.3405833333333333
1914.0,-0.26243657,-0.17,-0.04591666666666667
1915.0,-0.19167219,-0.15,0.030916666666666665
1916.0,-0.42002314,-0.37,-0.3621666666666667
1917.0,-0.5428197,-0.47,-0.5448333333333334
1918.0,-0.4243641,-0.31,-0.41850000000000004
1919.0,-0.32528907,-0.29,-0.25133333333333335
1920.0,-0.29835507,-0.28,-0.24158333333333334
1921.0,-0.24044435,-0.2,-0.09666666666666668
1922.0,-0.3390137,-0.29,-0.263
1923.0,-0.31768188,-0.27,-0.28308333333333335
1924.0,-0.3118017,-0.28,-0.1645
1925.0,-0.28214198,-0.23,-0.21083333333333334
1926.0,-0.122555,-0.11,-0.0040000000000000036
1927.0,-0.2291136,-0.22,-0.09666666666666668
1928.0,-0.20646581,-0.2,-0.10391666666666666
1929.0,-0.39244303,-0.37,-0.49933333333333335
1930.0,-0.17680542,-0.16,-0.11775000000000001
1931.0,-0.103397675,-0.1,-0.09933333333333333
1932.0,-0.14546171,-0.16,-0.13683333333333333
1933.0,-0.32234442,-0.29,-0.41816666666666663
1934.0,-0.17433685,-0.13,-0.13525
1935.0,-0.20605923,-0.2,-0.24175
1936.0,-0.16952094,-0.15,-0.21575
