year,TAVG
1814,6.6
1815,8.404657534246574
1816,7.81775956284153
1817,9.057397260273973
1818,10.086712328767124
1819,9.626301369863013
1820,8.763934426229508
1821,9.612328767123287
1822,10.333972602739726
1823,8.724931506849314
1824,9.637978142076502
1825,10.171780821917809
1826,10.506027397260274
1827,9.477945205479452
1828,10.724043715846994
1829,8.298219178082192
1830,8.952739726027398
1831,10.26027397260274
1832,9.7422131147541
1833,9.468493150684932
1834,10.534246575342467
1835,9.56904109589041
1836,9.051639344262295
1837,8.79917808219178
1838,8.145890410958904
1839,8.781095890410958
1840,8.741666666666665
1841,9.118356164383561
1842,9.494931506849316
1843,9.681780821917808
1844,9.083196721311475
1845,8.65986301369863
1846,10.58054794520548
1847,9.602876712328767
1848,9.90054644808743
1849,9.812328767123288
1850,9.001643835616438
1851,9.241643835616438
1852,10.089617486338799
1853,9.27890410958904
1854,9.745479452054795
1855,10.962358121330723
1856,12.183401639344263
1857,12.63150684931507
1858,12.263219178082192
1859,13.816803652968035
1860,13.20537340619308
1861,13.706255707762557
1862,13.924794520547946
1863,13.813287671232876
1864,13.446493624772314
1865,13.76366563801495
1866,14.030730593607307
1867,13.971643835616439
1868,14.265255009107468
1869,13.211679325782505
1870,13.33458904109589
1871,13.003801369863014
1872,13.279405737704918
1873,13.060102739726027
1874,13.04332191780822
1875,12.863287671232877
1876,13.363934426229509
1877,13.371232876712329
1878,13.582842465753425
1879,12.462191780821918
1880,13.269979508196721
1881,12.990616438356165
1882,13.297294520547945
1883,12.937157534246575
1884,13.33924180327869
1885,12.881369863013699
1886,12.888767123287671
1887,12.727020547945205
1888,12.468812598248372
1889,13.266575342465753
1890,13.256061643835617
1891,13.145239726027397
1892,12.717896174863387
1893,13.100000000000001
1894,13.41804794520548
1895,13.319075342465753
1896,13.455771857923498
1897,13.501770096342014
1898,14.056438356164385
1899,13.649897260273972
1900,13.513390410958904
1901,13.15541095890411
1902,13.208116438356164
1903,13.326575342465754
1904,12.904414158993937
1905,13.183287671232877
1906,13.842602739726027
1907,13.26027397260274
1908,13.719808743169398
1909,13.104109589041096
1910,13.57972602739726
1911,13.71890410958904
1912,13.425
1913,13.885239726027399
1914,13.843321917808218
1915,13.517910958904109
1916,13.19733606557377
1917,12.806438356164383
1918,13.506849315068493
1919,13.620445205479452
1920,13.33589480874317
1921,14.29722602739726
1922,13.500068493150684
1923,13.506986301369864
1924,13.108299180327869
1925,13.364554794520547
1926,13.550616438356165
1927,13.393356164383562
1928,13.926400273224044
1929,13.443904109589042
1930,13.823972602739726
1931,13.618527397260273
1932,13.649043715846995
1933,15.989116246319293
1934,15.369671232876712
1935,13.894965073029121
1936,12.804289617486338
1937,13.229390231388846
1938,14.395972720009967
1939,13.899638758158636
1940,14.149459902100542
1941,14.041958904109588
1942,13.976981338692479
1943,13.681095890410958
1944,14.502271891524321
1945,13.676332612887611
1946,14.384148376737416
1947,13.662175838145695
1948,15.02239544401058
1949,15.02851412412804
1950,14.552096447597304
1951,14.706370615685682
1952,15.229122798085733
1953,15.700076818094557
1954,15.436554668482616
1955,15.371306210346082
1956,15.28546929134064
1957,15.626836680436545
1958,15.643391411778154
1959,16.02973518144108
1960,15.273214944409382
1961,16.030403726027398
1962,15.446898630136987
1963,15.503772353673723
1964,15.600609970806197
1965,15.441847925827295
1966,15.596239642776053
1967,15.736258701998652
1968,15.628934261546524
1969,15.958514028539636
1970,15.755126632441113
1971,15.333677307589575
1972,15.38856130605609
1973,15.770602968036531
1974,15.874909113482897
1975,15.70391973911231
1976,15.584273224043717
1977,15.87081095890411
1978,15.661023344907848
1979,15.851430136986302
1980,15.887688838984955
1981,16.014750684931506
1982,15.860042044257114
1983,15.927364383561644
1984,15.76307381787312
1985,15.775857534246574
1986,16.08835536401416
1987,16.166793677555322
1988,16.088786885245902
1989,16.073627397260275
1990,16.749874338521145
1991,16.584343769431005
1992,16.268085676415037
1993,16.314606497078927
1994,16.68060280066121
1995,16.537402103276857
1996,16.01897959540469
1997,16.235914549557855
1998,16.768198000970603
1999,16.521793660890612
2000,16.058622673968802
2001,16.193024671553488
2002,16.54606534674686
2003,16.32726715163992
2004,16.642416270574937
2005,16.534371743273184
2006,16.910139245074074
2007,16.776790295429358
2008,16.38185887133102
2009,16.465557403009456
2010,16.49642396771807
2011,16.651893236395683
2012,17.04246444257029
2013,16.299949081861268
2014,16.567725110725195
2015,17.5917680490299
2016,17.47606841689786
2017,17.391805743702754
2018,17.161532969912088
2019,17.325350830925455
2020,17.04732960337202
2021,16.807039605252747
2022,16.823473641639485
2023,17.106243867105384
2024,17.277357189312657
2025,14.822786703566466
